bed,bath,sqft,date,sold_price
1,1,646,05/07/2017,280000
1,1,707,10/07/2017,285000
1,1,707,11/07/2017,288850
1,1,707,05/09/2017,300000
1,1,707,15/09/2017,290000
1,1,707,19/09/2017,295000
1,1,646,15/11/2017,285000
1,1,707,30/11/2017,305000
1,1,707,22/12/2017,305000
1,1,707,08/03/2018,315000
1,1,707,19/04/2018,325000
1,1,646,26/04/2018,290000
1,1,686,09/05/2018,323000
1,1,707,10/05/2018,335000
1,1,707,06/06/2018,315000
1,1,707,27/03/2018,297198
1,1,707,10/05/2018,305000
