bed,bath,sqft,date,sold_price
4,2,1890,23/06/2017,162000
4,3,2414,30/06/2017,176000
4,3,1759,03/10/2017,175000
4,2,1902,26/10/2017,202000
4,2,1804,17/11/2017,196000
4,2,1704,11/12/2017,172900
4,3,2844,27/12/2017,192000
4,3,2930,27/02/2018,205000
4,2,2332,09/03/2018,170000
4,2,1890,19/03/2018,198000
4,3,2215,02/05/2018,188000
4,2,1770,14/05/2018,182400
4,2,1820,16/05/2018,180000
4,2,1704,25/05/2018,187500
4,2,1700,29/05/2018,184000
4,2,2215,11/01/2018,193278
