bed,bath,sqft,date,sold_price
4,3,2200,12/09/2017,184000
3,2.5,1900,17/10/2017,191313
4,3,1993,28/02/2018,194500
3,3,1960,14/11/2017,197149
3,3,2008,14/07/2017,198000
3,3,1848,26/09/2017,200000
3,2.5,1900,20/12/2017,200722
4,2.5,1889,14/12/2017,202000
4,3,2450,31/07/2017,203000
4,3,2345,10/10/2017,209394
4,2,2194,16/03/2018,212000
3,3,1848,18/04/2018,215000
4,2.5,2200,16/10/2017,217743
4,3,2240,24/08/2017,217812
4,3,2638,02/12/2018,229000
